STATEICP,doctoral_count,estimated_total
1,600,37042.708333333336
2,165,10186.744791666668
3,2014,124340.02430555555
4,244,15064.03472222222
5,177,10927.598958333334
6,131,8087.657986111111
11,152,9384.152777777777
12,1438,88779.02430555556
13,2829,174656.36979166666
14,1620,100015.3125
21,1457,89952.04340277778
22,620,38277.46527777778
23,991,61182.206597222226
24,1213,74888.00868055556
25,513,31671.515625
31,258,15928.364583333332
32,321,19817.848958333332
33,572,35314.04861111111
34,621,38339.203125
35,153,9445.890625
36,60,3704.2708333333335
37,71,4383.387152777777
40,1531,94520.64409722223
41,460,28399.40972222222
42,251,15496.19965277778
43,2731,168606.06076388888
44,1451,89581.61631944444
45,450,27782.031250000004
46,263,16237.053819444445
47,1421,87729.48090277778
48,647,39944.38715277778
49,3216,198548.91666666666
51,448,27658.555555555555
52,1608,99274.45833333333
53,281,17348.335069444445
54,841,51921.52951388889
56,159,9816.317708333332
61,896,55317.11111111111
62,1031,63651.72048611111
63,175,10804.123263888889
64,113,6976.376736111111
65,282,17410.072916666668
66,350,21608.246527777777
67,428,26423.798611111113
68,72,4445.125
71,6336,391171
72,647,39944.38715277778
73,1195,73776.72743055556
81,51,3148.630208333333
82,214,13211.899305555557
